tipo;x;y;presencia
robledal;473750;4091150;1
robledal;473750;4090650;1
robledal;473750;4089850;1
robledal;473750;4089450;1
robledal;473750;4089250;1
robledal;473750;4089050;1
robledal;473750;4088850;1
robledal;473850;4093650;1
robledal;473850;4093450;1
robledal;473850;4093250;1
robledal;473850;4090850;1
robledal;473850;4090450;1
robledal;473850;4089650;1
robledal;473950;4093950;1
robledal;473950;4090650;1
robledal;473950;4090250;1
robledal;473950;4090050;1
robledal;473950;4089850;1
robledal;473950;4089450;1
robledal;473950;4089050;1
robledal;474050;4093750;1
robledal;474050;4093550;1
robledal;474050;4093350;1
robledal;474050;4090450;1
robledal;474150;4093950;1
robledal;474150;4093150;1
robledal;474150;4090650;1
robledal;474150;4090250;1
robledal;474150;4090050;1
robledal;474150;4089850;1
robledal;474150;4089650;1
robledal;474250;4093750;1
robledal;474250;4093550;1
robledal;474250;4093350;1
robledal;474250;4092950;1
robledal;474350;4093950;1
robledal;474350;4093150;1
robledal;474350;4090850;1
robledal;474350;4090650;1
robledal;474350;4090450;1
robledal;474350;4090050;1
robledal;474350;4089850;1
robledal;474450;4093750;1
robledal;474450;4093550;1
robledal;474450;4093350;1
robledal;474450;4092950;1
robledal;474550;4093150;1
robledal;474550;4090750;1
robledal;474550;4090550;1
robledal;474550;4090350;1
robledal;474650;4093550;1
robledal;474650;4093350;1
robledal;474750;4093150;1
robledal;474750;4090550;1
robledal;474750;4090350;1
robledal;474750;4090150;1
robledal;474750;4089450;1
robledal;474850;4093450;1
robledal;474850;4092950;1
robledal;474850;4089950;1
robledal;474950;4093250;1
robledal;474950;4090450;1
robledal;474950;4090250;1
robledal;475050;4093050;1
robledal;475150;4093250;1
robledal;475150;4091750;1
robledal;475150;4091450;1
robledal;475150;4091250;1
robledal;475150;4091050;1
robledal;475150;4090450;1
robledal;475150;4090050;1
robledal;475250;4090850;1
robledal;475250;4090250;1
robledal;475350;4091750;1
robledal;475350;4091550;1
robledal;475350;4091250;1
robledal;475350;4091050;1
robledal;475350;4090650;1
robledal;475350;4090450;1
robledal;475350;4090050;1
robledal;475350;4089850;1
robledal;475450;4090850;1
robledal;475450;4090250;1
robledal;475550;4091850;1
robledal;475550;4091650;1
robledal;475550;4091450;1
robledal;475550;4091250;1
robledal;475550;4091050;1
robledal;475550;4090650;1
robledal;475550;4090450;1
robledal;475850;4093650;1
robledal;475950;4093850;1
robledal;476050;4093650;1
robledal;476150;4093950;1
robledal;476350;4115650;1
robledal;476350;4115450;1
robledal;476350;4115250;1
robledal;476350;4114950;1
robledal;476450;4116250;1
robledal;476450;4114550;1
robledal;476550;4116050;1
robledal;476550;4115850;1
robledal;476550;4115650;1
robledal;476550;4115450;1
robledal;476550;4115250;1
robledal;476550;4114950;1
robledal;476550;4114750;1
robledal;476650;4116250;1
robledal;476750;4116050;1
robledal;476750;4115850;1
robledal;476750;4115650;1
robledal;476750;4115450;1
robledal;476750;4115250;1
robledal;476750;4115050;1
robledal;476750;4114850;1
robledal;476750;4114650;1
robledal;476750;4113450;1
robledal;476950;4116150;1
robledal;476950;4115950;1
robledal;476950;4115750;1
robledal;476950;4115550;1
robledal;476950;4115350;1
robledal;476950;4115150;1
robledal;476950;4114950;1
robledal;476950;4113350;1
robledal;477050;4114450;1
robledal;477050;4114250;1
robledal;477050;4114050;1
robledal;477150;4116250;1
robledal;477150;4116050;1
robledal;477150;4115850;1
robledal;477150;4115650;1
robledal;477150;4115450;1
robledal;477150;4113650;1
robledal;477150;4113450;1
robledal;477250;4114550;1
robledal;477250;4114350;1
robledal;477250;4114150;1
robledal;477350;4116350;1
robledal;477350;4116150;1
robledal;477350;4115950;1
robledal;477350;4115750;1
robledal;477350;4114750;1
robledal;477350;4113750;1
robledal;477350;4113550;1
robledal;477350;4113350;1
robledal;477450;4115450;1
robledal;477450;4115050;1
robledal;477450;4114550;1
robledal;477450;4114350;1
robledal;477450;4114150;1
